year,yearMap,name,country,cat,category2,catMap,Rationale,award,continent,,,
2006,2004,Frances Allen,United States,Computer,7,6.5,"""For pioneering contributions to the theory and practice of optimizing compiler techniques that laid the foundation for modern optimizing compilers and automatic parallel execution.""",Ken Kennedy,North America,0,0,0
2008,2005,Barbara Liskov,United States,Computer,7,6.5,"""For contributions to practical and theoretical foundations of programming language and system design, especially related to data abstraction, fault tolerance, and distributed computing.""",Turing,North America,1,1,0
2009,2006,Francine Berman,United States,Computer,7,6.5,"""For her influential leadership in the design, development and deployment of national-scale cyber infrastructure, her-inspiring work as a teacher and mentor, and her exemplary service to the high performance community.",Ken Kennedy,North America,2,2,0
2011,2013,Susan Graham,United States,Computer,7,6.5,For foundational compilation algorithms and programming tools; research and discipline leadership; and exceptional mentoring.,Ken Kennedy,North America,0,0,0
2012,2014,Shafi Goldwasser,United States,Computer,7,6.5,"""For transformative work that laid the complexity-theoretic foundations for the science of cryptography and in the process pioneered new methods for efficient verification of mathematical proofs in complexity theory.""",Turing,North America,1,1,0
2012,2015,Katherine Yelick,United States,Computer,7,6.5,"""For advancing the programmability of HPC systems, strategic national leadership, and mentorship in academia and government labs.""",Ken Kennedy,North America,2,2,0
2012,2016,Mary Lou Soffa,United States,Computer,7,6.5,"""For contributions to compiler technology and software engineering, exemplary service to the profession, and life-long dedication to mentoring and improving diversity in computing.""",Ken Kennedy,North America,3,3,0
2004,2003,Wangari Maathai,Kenya,Peace & Leadership,8,7.3,"""For her contribution to sustainable development, democracy and peace""",Nobel,Africa,0,0,0
2004,2004,Wu Yi,China,Peace & Leadership,8,7.3,"""Vice Premier and Health Minister of China.""",Times 100People,Africa,1,1,0
2006,2005,Ellen Johnson Sirleaf,Liberia,Peace & Leadership,8,7.3,"""Politician who served as the 24th President of Liberia from 2006 to 2018.""",Times 100People,Africa,2,2,0
2003,2006,Shirin Ebadi,Iran,Peace & Leadership,8,7.3,"""For her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",Nobel,Asia,3,3,0
2007,2007,Sonia Gandhi,India,Peace & Leadership,8,7.3,Is an Indian politician of Italian descent.,,Asia,4,4,0
2007,2003,Queen Elizabeth II,United Kingdom,Peace & Leadership,8,7.5,"Helen Mirren may have scooped an Oscar for her portrayal of the Queen, head of state of Britain and 15 Commonwealth countries",,Europe,5,0,1
2007,2004,Angela Merkel,Germany,Peace & Leadership,8,7.5,Merkel's Peace & Leadership style is the art of accomplishing great goals through the accumulation of nuance.,,Europe,6,1,1
2004,2005,Condoleezza Rice,United States,Peace & Leadership,8,7.5,"""American political scientist and diplomat.""",Times 100People,North America,7,2,1
2004,2006,Luisa Diogo,Mozambique,Peace & Leadership,8,7.5,"""Prime Minister of Mozambique from February 2004 to January 2010.""",Times 100People,North America,8,3,1
2005,2007,Ayaan Hirsi Ali,somalia,Peace & Leadership,8,7.5,"""Activist, feminist, author, scholar and former politician.""",Times 100People,North America,9,4,1
2006,2003,Hillary Clinton,United States,Peace & Leadership,8,7.7,"""American politician who was the First Lady of the United States from 1993 to 2001, and served as the junior U.S. Senator from New York from 2001 to 2009""",Times 100People,North America,10,0,2
2006,2004,Orpah Gail Winfrey,United States,Peace & Leadership,8,7.7,"""American media proprietor, talk show host, actress, producer, and philanthropist.""",Times 100People,North America,11,1,2
2007,2005,Hillary Clinton,United States,Peace & Leadership,8,7.7,"Was the First Lady of the United States from 1993 to 2001, and served as the junior U.S. Senator from New York from 2001 to 2009 and 67th United States Secretary of State from 2009 to 2013.",,North America,12,2,2
2011,2012,Ellen Johnson Sirleaf,Liberia,Peace & Leadership,8,7.2,"""For their non-violent struggle for the safety of women to full participation in peace-building work""",Nobel,Africa,0,0,0
